Line Code,Direction,Stop Code,Stop ID,Chinese Name,English Name,Sequence
505,1,SAS,920,三聖,Sam Shing,1
505,1,SIL,265,兆麟,Siu Lun,2
505,1,ONT,270,安定,On Ting,3
505,1,TOC,280,市中心,Town Centre,4
505,1,TML,295,屯門,Tuen Mun,5
505,1,KIO,60,建安,Kin On,6
505,1,SKS,190,山景(南),Shan King (South),7
505,1,SKN,180,山景(北),Shan King (North),8
505,1,SHP,170,石排,Shek Pai,9
505,1,SAW,160,新圍,San Wai,10
505,1,LEK,150,良景,Leung King,11
505,1,TNK,140,田景,Tin King,12
505,1,KIS,130,建生,Kin Sang,13
505,1,CHC,120,青松,Ching Chung,14
505,1,KEL,110,麒麟,Kei Lun,15
505,1,SHL,100,兆康,Siu Hong,16
505,2,SHL,100,兆康,Siu Hong,1
505,2,CHC,120,青松,Ching Chung,2
505,2,KIS,130,建生,Kin Sang,3
505,2,TNK,140,田景,Tin King,4
505,2,LEK,150,良景,Leung King,5
505,2,SAW,160,新圍,San Wai,6
505,2,SHP,170,石排,Shek Pai,7
505,2,MIK,200,鳴琴,Ming Kum,8
505,2,KIO,60,建安,Kin On,9
505,2,TML,295,屯門,Tuen Mun,10
505,2,TOC,280,市中心,Town Centre,11
505,2,ONT,270,安定,On Ting,12
505,2,SIL,265,兆麟,Siu Lun,13
505,2,SAS,920,三聖,Sam Shing,14
507,1,FEP,1,屯門碼頭,Tuen Mun Ferry Pier,1
507,1,SHE,240,兆禧,Siu Hei,2
507,1,TSP,250,海皇路,Hoi Wong Road,3
507,1,GOG,260,豐景園,Goodview Garden,4
507,1,SIL,265,兆麟,Siu Lun,5
507,1,ONT,270,安定,On Ting,6
507,1,TOC,280,市中心,Town Centre,7
507,1,TML,295,屯門,Tuen Mun,8
507,1,HOT,70,河田,Ho Tin,9
507,1,CYB,75,蔡意橋,Choy Yee Bridge,10
507,1,NGW,230,銀圍,Ngan Wai,11
507,1,THS,220,大興(南),Tai Hing (South),12
507,1,THN,212,大興(北),Tai Hing (North),13
507,1,SAW,160,新圍,San Wai,14
507,1,LEK,150,良景,Leung King,15
507,1,TNK,140,田景,Tin King,16
507,2,TNK,140,田景,Tin King,1
507,2,TNK,140,田景,Tin King,2
507,2,LEK,150,良景,Leung King,3
507,2,SAW,160,新圍,San Wai,4
507,2,THN,212,大興(北),Tai Hing (North),5
507,2,THS,220,大興(南),Tai Hing (South),6
507,2,NGW,230,銀圍,Ngan Wai,7
507,2,CYB,75,蔡意橋,Choy Yee Bridge,8
507,2,HOT,70,河田,Ho Tin,9
507,2,TML,295,屯門,Tuen Mun,10
507,2,TOC,280,市中心,Town Centre,11
507,2,ONT,270,安定,On Ting,12
507,2,SIL,265,兆麟,Siu Lun,13
507,2,GOG,260,豐景園,Goodview Garden,14
507,2,TSP,250,海皇路,Hoi Wong Road,15
507,2,SHE,240,兆禧,Siu Hei,16
507,2,FEP,1,屯門碼頭,Tuen Mun Ferry Pier,17
614P,1,FEP,1,屯門碼頭,Tuen Mun Ferry Pier,1
614P,1,SHE,240,兆禧,Siu Hei,2
614P,1,TSP,250,海皇路,Hoi Wong Road,3
614P,1,GOG,260,豐景園,Goodview Garden,4
614P,1,SIL,265,兆麟,Siu Lun,5
614P,1,ONT,270,安定,On Ting,6
614P,1,TOC,280,市中心,Town Centre,7
614P,1,PUT,300,杯渡,Pui To,8
614P,1,HFT,310,何福堂,Hoh Fuk Tong,9
614P,1,SAH,320,新墟,San Hui,10
614P,1,PRV,330,景峰,Prime View,11
614P,1,FUT,340,鳳地,Fung Tei,12
614P,1,SHL,100,兆康,Siu Hong,13
615P,2,SHL,100,兆康,Siu Hong,1
615P,2,KEL,110,麒麟,Kei Lun,2
615P,2,CHC,120,青松,Ching Chung,3
615P,2,KIS,130,建生,Kin Sang,4
615P,2,TNK,140,田景,Tin King,5
615P,2,LEK,150,良景,Leung King,6
615P,2,SAW,160,新圍,San Wai,7
615P,2,SHP,170,石排,Shek Pai,8
615P,2,MIK,200,鳴琴,Ming Kum,9
615P,2,TWN,50,青雲,Tsing Wun,10
615P,2,TSS,40,青山村,Tsing Shan Tsuen,11
615P,2,LUM,30,龍門,Lung Mun,12
615P,2,LRD,20,輕鐵車廠,Light Rail Depot,13
615P,2,BUT,15,蝴蝶,Butterfly,14
615P,2,MEG,10,美樂,Melody Garden,15
615P,2,FEP,1,屯門碼頭,Tuen Mun Ferry Pier,16
615P,1,FEP,1,屯門碼頭,Tuen Mun Ferry Pier,1
615P,1,MEG,10,美樂,Melody Garden,2
615P,1,BUT,15,蝴蝶,Butterfly,3
615P,1,LRD,20,輕鐵車廠,Light Rail Depot,4
615P,1,LUM,30,龍門,Lung Mun,5
615P,1,TSS,40,青山村,Tsing Shan Tsuen,6
615P,1,TWN,50,青雲,Tsing Wun,7
615P,1,MIK,200,鳴琴,Ming Kum,8
615P,1,SHP,170,石排,Shek Pai,9
615P,1,SAW,160,新圍,San Wai,10
615P,1,LEK,150,良景,Leung King,11
615P,1,TNK,140,田景,Tin King,12
615P,1,KIS,130,建生,Kin Sang,13
615P,1,CHC,120,青松,Ching Chung,14
615P,1,KEL,110,麒麟,Kei Lun,15
615P,1,SHL,100,兆康,Siu Hong,16
614P,2,SHL,100,兆康,Siu Hong,1
614P,2,FUT,340,鳳地,Fung Tei,2
614P,2,PRV,330,景峰,Prime View,3
614P,2,SAH,320,新墟,San Hui,4
614P,2,HFT,310,何福堂,Hoh Fuk Tong,5
614P,2,PUT,300,杯渡,Pui To,6
614P,2,TOC,280,市中心,Town Centre,7
614P,2,ONT,270,安定,On Ting,8
614P,2,SIL,265,兆麟,Siu Lun,9
614P,2,GOG,260,豐景園,Goodview Garden,10
614P,2,TSP,250,海皇路,Hoi Wong Road,11
614P,2,SHE,240,兆禧,Siu Hei,12
614P,2,FEP,1,屯門碼頭,Tuen Mun Ferry Pier,13
610,1,FEP,1,屯門碼頭,Tuen Mun Ferry Pier,1
610,1,MEG,10,美樂,Melody Garden,2
610,1,BUT,15,蝴蝶,Butterfly,3
610,1,LRD,20,輕鐵車廠,Light Rail Depot,4
610,1,LUM,30,龍門,Lung Mun,5
610,1,TSS,40,青山村,Tsing Shan Tsuen,6
610,1,TWN,50,青雲,Tsing Wun,7
610,1,MIK,200,鳴琴,Ming Kum,8
610,1,SHP,170,石排,Shek Pai,9
610,1,THN,212,大興(北),Tai Hing (North),10
610,1,THS,220,大興(南),Tai Hing (South),11
610,1,NGW,230,銀圍,Ngan Wai,12
610,1,AFF,80,澤豐,Affluence,13
610,1,TMH,90,屯門醫院,Tuen Mun Hospital,14
610,1,SHL,100,兆康,Siu Hong,15
610,1,LTE,350,藍地,Lam Tei,16
610,1,NAW,360,泥圍,Nai Wai,17
610,1,CUT,370,鍾屋村,Chung Uk Tsuen,18
610,1,HSK,380,洪水橋,Hung Shui Kiu,19
610,1,TOF,390,塘坊村,Tong Fong Tsuen,20
610,1,PIS,400,屏山,Ping Shan,21
610,1,SPW,560,水邊圍,Shui Pin Wai,22
610,1,FNR,570,豐年路,Fung Nin Road,23
610,1,HLR,580,康樂路,Hong Lok Road,24
610,1,TTR,590,大棠路,Tai Tong Road,25
610,1,YLL,600,元朗,Yuen Long,26
610,2,YLL,600,元朗,Yuen Long,1
610,2,TTR,590,大棠路,Tai Tong Road,2
610,2,HLR,580,康樂路,Hong Lok Road,3
610,2,FNR,570,豐年路,Fung Nin Road,4
610,2,SPW,560,水邊圍,Shui Pin Wai,5
610,2,PIS,400,屏山,Ping Shan,6
610,2,TOF,390,塘坊村,Tong Fong Tsuen,7
610,2,HSK,380,洪水橋,Hung Shui Kiu,8
610,2,CUT,370,鍾屋村,Chung Uk Tsuen,9
610,2,NAW,360,泥圍,Nai Wai,10
610,2,LTE,350,藍地,Lam Tei,11
610,2,SHL,100,兆康,Siu Hong,12
610,2,TMH,90,屯門醫院,Tuen Mun Hospital,13
610,2,AFF,80,澤豐,Affluence,14
610,2,NGW,230,銀圍,Ngan Wai,15
610,2,THS,220,大興(南),Tai Hing (South),16
610,2,THN,212,大興(北),Tai Hing (North),17
610,2,SHP,170,石排,Shek Pai,18
610,2,MIK,200,鳴琴,Ming Kum,19
610,2,TWN,50,青雲,Tsing Wun,20
610,2,TSS,40,青山村,Tsing Shan Tsuen,21
610,2,LUM,30,龍門,Lung Mun,22
610,2,LRD,20,輕鐵車廠,Light Rail Depot,23
610,2,BUT,15,蝴蝶,Butterfly,24
610,2,MEG,10,美樂,Melody Garden,25
610,2,FEP,1,屯門碼頭,Tuen Mun Ferry Pier,26
614,1,FEP,1,屯門碼頭,Tuen Mun Ferry Pier,1
614,1,SHE,240,兆禧,Siu Hei,2
614,1,TSP,250,海皇路,Hoi Wong Road,3
614,1,GOG,260,豐景園,Goodview Garden,4
614,1,SIL,265,兆麟,Siu Lun,5
614,1,ONT,270,安定,On Ting,6
614,1,TOC,280,市中心,Town Centre,7
614,1,PUT,300,杯渡,Pui To,8
614,1,HFT,310,何福堂,Hoh Fuk Tong,9
