Line Code,Direction,Stop Code,Stop ID,Chinese Name,English Name,Sequence
614,1,SAH,320,新墟,San Hui,10
614,1,PRV,330,景峰,Prime View,11
614,1,FUT,340,鳳地,Fung Tei,12
614,1,SHL,100,兆康,Siu Hong,13
614,1,LTE,350,藍地,Lam Tei,14
614,1,NAW,360,泥圍,Nai Wai,15
614,1,CUT,370,鍾屋村,Chung Uk Tsuen,16
614,1,HSK,380,洪水橋,Hung Shui Kiu,17
614,1,TOF,390,塘坊村,Tong Fong Tsuen,18
614,1,PIS,400,屏山,Ping Shan,19
614,1,SPW,560,水邊圍,Shui Pin Wai,20
614,1,FNR,570,豐年路,Fung Nin Road,21
614,1,HLR,580,康樂路,Hong Lok Road,22
614,1,TTR,590,大棠路,Tai Tong Road,23
614,1,YLL,600,元朗,Yuen Long,24
614,2,YLL,600,元朗,Yuen Long,1
614,2,TTR,590,大棠路,Tai Tong Road,2
614,2,HLR,580,康樂路,Hong Lok Road,3
614,2,FNR,570,豐年路,Fung Nin Road,4
614,2,SPW,560,水邊圍,Shui Pin Wai,5
614,2,PIS,400,屏山,Ping Shan,6
614,2,TOF,390,塘坊村,Tong Fong Tsuen,7
614,2,HSK,380,洪水橋,Hung Shui Kiu,8
614,2,CUT,370,鍾屋村,Chung Uk Tsuen,9
614,2,NAW,360,泥圍,Nai Wai,10
614,2,LTE,350,藍地,Lam Tei,11
614,2,SHL,100,兆康,Siu Hong,12
614,2,FUT,340,鳳地,Fung Tei,13
614,2,PRV,330,景峰,Prime View,14
614,2,SAH,320,新墟,San Hui,15
614,2,HFT,310,何福堂,Hoh Fuk Tong,16
614,2,PUT,300,杯渡,Pui To,17
614,2,TOC,280,市中心,Town Centre,18
614,2,ONT,270,安定,On Ting,19
614,2,SIL,265,兆麟,Siu Lun,20
614,2,GOG,260,豐景園,Goodview Garden,21
614,2,TSP,250,海皇路,Hoi Wong Road,22
614,2,SHE,240,兆禧,Siu Hei,23
614,2,FEP,1,屯門碼頭,Tuen Mun Ferry Pier,24
615,1,FEP,1,屯門碼頭,Tuen Mun Ferry Pier,1
615,1,MEG,10,美樂,Melody Garden,2
615,1,BUT,15,蝴蝶,Butterfly,3
615,1,LRD,20,輕鐵車廠,Light Rail Depot,4
615,1,LUM,30,龍門,Lung Mun,5
